ciclo_academico,edad,numero_discapacidades,aab1_nota,acdb1_nota,apeb1_nota,aab2_nota,acdb2_nota,apeb2_nota,Status_codificado,Sexo_codificado,tipo_de_est_programa_codificado,tipo_de_ingreso_codificado,estatus_curso_codificado,discapacidad_codificado,region_codificado,tipo_de_pago_codificado,descripcion_beca_codificado,descripcion_descuento_codificado,convenios_contratos_codificado,formas_pago_codificado,tipo_discapacidad_codificado,curso_codificado
2,20.0,0,2.87,3.5,2.4,2.25,3.5,2.85,0,0,0,6,0,0,0,2,0,0,0,10,4,47
2,20.0,0,1.77,3.07,2.1,1.75,2.94,1.4,1,0,0,6,0,0,0,2,0,0,0,10,4,13
2,20.0,0,1.34,3.23,1.14,1.68,3.48,1.0,1,0,0,6,0,0,0,2,0,0,0,10,4,14
2,20.0,0,1.89,3.42,2.78,1.92,3.46,2.7,0,0,0,6,0,0,0,2,0,0,0,10,4,50
2,20.0,0,2.43,3.5,2.81,2.31,3.5,2.98,0,0,0,6,0,0,0,2,0,0,0,10,4,46
3,20.0,0,2.0,2.35,3.0,2.13,3.5,3.0,0,0,0,6,0,0,0,2,0,0,0,10,4,15
3,20.0,0,1.88,2.85,2.7,1.95,3.3,3.0,0,0,0,6,0,0,0,2,0,0,0,10,4,48
3,20.0,0,1.88,3.5,3.0,2.19,3.5,3.0,0,0,0,6,0,0,0,2,0,0,0,10,4,16
3,20.0,0,1.69,2.73,3.0,2.44,3.12,2.0,0,0,0,6,0,0,0,2,0,0,0,10,4,13
3,20.0,0,2.13,2.79,2.1,2.17,3.05,2.7,0,0,0,6,0,0,0,2,0,0,0,10,4,14
3,20.0,0,1.88,3.47,3.0,2.31,3.2,3.0,0,0,0,6,0,0,0,2,0,0,0,10,4,43
4,20.0,0,2.56,3.5,2.35,2.38,3.5,1.6,0,0,0,6,0,0,0,2,0,0,0,10,4,18
4,20.0,0,2.44,3.5,1.43,1.94,3.5,1.73,0,0,0,6,0,0,0,2,0,0,0,10,4,19
4,20.0,0,1.39,3.5,2.7,1.71,3.2,2.7,0,0,0,6,0,0,0,2,0,0,0,10,4,40
4,20.0,0,1.9,3.36,2.4,2.4,2.61,2.25,0,0,0,6,0,0,0,2,0,0,0,10,4,17
1,20.0,0,1.58,2.2,2.55,1.49,3.2,2.7,1,0,1,6,0,0,0,2,0,0,0,10,4,40
1,20.0,0,2.14,3.5,2.42,2.19,3.5,2.42,0,0,1,6,0,0,0,2,0,0,0,10,4,2
1,20.0,0,1.65,3.2,2.13,2.08,3.5,2.4,0,0,1,6,0,0,0,2,0,0,0,10,4,3
1,20.0,0,1.97,3.13,2.8,1.75,3.25,3.0,0,0,1,6,0,0,0,2,0,0,0,10,4,11
1,20.0,0,2.03,3.3,3.0,2.25,3.3,2.6,0,0,1,6,0,0,0,2,0,0,0,10,4,49
1,20.0,0,2.21,3.5,3.0,2.11,3.5,3.0,0,0,1,6,0,0,0,2,0,0,0,10,4,45
1,28.0,0,3.19,3.5,3.0,3.0,3.5,3.0,0,2,1,6,0,0,0,2,0,0,1,16,4,2
1,28.0,0,2.42,3.5,2.85,2.67,2.9,3.0,0,2,1,6,0,0,0,2,0,0,1,16,4,3
1,28.0,0,2.92,3.5,2.9,2.25,3.5,2.8,0,2,1,6,0,0,0,2,0,0,1,16,4,11
1,28.0,0,2.07,3.33,3.0,3.36,3.38,3.0,0,2,1,6,0,0,0,2,0,0,1,16,4,45
2,28.0,0,3.06,3.25,2.85,3.19,3.3,3.0,0,2,0,6,0,0,0,2,0,0,1,16,4,12
2,28.0,0,2.34,3.35,2.7,2.13,3.5,2.55,0,2,0,6,0,0,0,2,0,0,1,16,4,40
2,28.0,0,2.88,3.1,3.0,2.25,3.5,3.0,0,2,0,6,0,0,0,2,0,0,1,16,4,47
2,28.0,0,2.35,2.6,1.5,2.42,3.4,2.87,0,2,0,6,0,0,0,2,0,0,1,16,4,14
2,28.0,0,2.81,3.15,3.0,2.81,3.2,3.0,0,2,0,6,0,0,0,2,0,0,1,16,4,49
2,28.0,0,2.54,3.35,3.0,2.75,3.5,2.96,0,2,0,6,0,0,0,2,0,0,1,16,4,46
3,28.0,0,2.69,3.1,3.0,2.81,3.35,3.0,0,2,0,6,0,0,0,2,0,0,1,16,4,15
3,28.0,0,2.4,2.9,2.85,2.58,3.5,3.0,0,2,0,6,0,0,0,2,0,0,1,16,4,48
3,28.0,0,2.38,3.5,3.0,3.13,3.5,3.0,0,2,0,6,0,0,0,2,0,0,1,16,4,16
3,28.0,0,2.06,3.5,2.85,2.27,3.31,3.0,0,2,0,6,0,0,0,2,0,0,1,16,4,13
3,28.0,0,3.28,3.3,2.85,2.76,3.2,2.93,0,2,0,6,0,0,0,2,0,0,1,16,4,50
5,32.0,0,3.38,3.5,3.0,3.38,3.5,3.0,0,0,0,0,0,0,0,2,0,0,0,10,4,6
5,32.0,0,2.81,3.2,2.4,2.19,3.5,2.7,0,0,0,0,0,0,0,2,0,0,0,10,4,22
