ciclo_academico,region,porcentaje_de_beca,formas_de_pago,edad,porcentaje_de_discapacidades,numero_discapacidades,numero_reprobaciones,aab1_nota,acdb1_nota,apeb1_nota,aab2_nota,acdb2_nota,apeb2_nota,final_nota,tasa_aprobacion,Sexo,Tipo_de_est_programa,Tipo_de_ingreso,Estatus_curso,Discapacidad,Status,Tipo_de_pago,Descripcion_beca,Descripcion_descuento,Convenios_contratos,Formas_pago,Tipo_discapacidad,Curso
2,0,10.0,1,32.0,0,0,0,3.22,3.5,3.0,3.16,3.5,3.0,9.7,1.0,0,0,0,0,0,0,2,0,0,0,1,4,13
2,0,10.0,1,32.0,0,0,0,3.42,3.46,3.0,3.08,3.35,2.92,9.6,1.0,0,0,0,0,0,0,2,0,0,0,1,4,14
2,0,10.0,1,32.0,0,0,0,3.47,3.3,2.9,3.44,3.5,2.95,9.8,1.0,0,0,0,0,0,0,2,0,0,0,1,4,50
2,0,10.0,1,32.0,0,0,0,3.04,3.5,3.0,3.5,3.5,3.0,9.8,1.0,0,0,0,0,0,0,2,0,0,0,1,4,46
3,0,10.0,1,32.0,0,0,0,3.0,-1.0,3.2,1.0,-1.0,-1.0,8.9,0.33,0,0,0,0,0,0,2,0,0,0,1,4,15
3,0,10.0,1,32.0,0,0,0,2.69,-1.0,3.5,1.0,-1.0,-1.0,8.8,0.33,0,0,0,0,0,0,2,0,0,0,1,4,18
3,0,10.0,1,32.0,0,0,0,3.19,-1.0,3.5,1.0,-1.0,-1.0,9.7,0.33,0,0,0,0,0,0,2,0,0,0,1,4,16
3,0,10.0,1,32.0,0,0,0,3.1,-1.0,3.5,1.0,-1.0,-1.0,9.4,0.33,0,0,0,0,0,0,2,0,0,0,1,4,17
3,0,10.0,1,32.0,0,0,0,3.25,-1.0,3.5,1.0,-1.0,-1.0,9.5,0.33,0,0,0,0,0,0,2,0,0,0,1,4,43
3,0,10.0,1,32.0,0,0,0,3.0,-1.0,3.3,1.0,-1.0,-1.0,9.4,0.33,0,0,0,0,0,0,2,0,0,0,1,4,48
4,0,10.0,1,32.0,0,0,0,3.06,3.3,2.7,2.88,3.5,2.25,8.85,1.0,0,0,0,0,0,0,2,0,0,0,1,4,19
